"source_group","source_label","target_key","target_label","target_group","operation"
"Autres","Affiche","affiche","Affiche","Ce que vous obtenez","alias_or_group_normalization"
"Autres","Coaching","coaching","Coaching","Expérience","alias_or_group_normalization"
"Autres","Code","code","Code","Autres","preserve"
"Autres","Couverture","couverture","Couverture","Ce que vous obtenez","alias_or_group_normalization"
"Autres","Donnees","donnees","Données","Autres","alias_or_group_normalization"
"Autres","Jeu","jeu","Jeu","Expérience","alias_or_group_normalization"
"Autres","Simulation","simulation","Simulation","Expérience","alias_or_group_normalization"
"Ce que vous obtenez","Photo","photo","Photo","Ce que vous obtenez","preserve"
"Ce que vous obtenez","Plan","plan","Plan","Ce que vous obtenez","preserve"
"Ce que vous obtenez","Schéma","schema","Schéma","Ce que vous obtenez","preserve"
"Ce que ça fait","Architecture","architecture","Architecture","Domaine","alias_or_group_normalization"
"Ce que ça fait","Debat","debat","Débat","Ce que ça fait","alias_or_group_normalization"
"Ce que ça fait","Enquete","enquete","Enquête","Ce que ça fait","alias_or_group_normalization"
"Ce que ça fait","Humour","humour","Humour","Ce que ça fait","preserve"
"Ce que ça fait","Marque","marque","Marque","Ce que ça fait","preserve"
"Ce que ça fait","Montage","montage","Montage","Ce que ça fait","preserve"
"Ce que ça fait","Objet","objet","Objet","Ce que ça fait","preserve"
"Ce que ça fait","Organisation","organisation","Organisation","Ce que ça fait","preserve"
"Ce que ça fait","Reseaux","reseaux","Réseaux","Ce que ça fait","alias_or_group_normalization"
"Ce que ça fait","Retouche","retouche","Retouche","Ce que ça fait","preserve"
"Ce que ça fait","Strategie","strategie","Stratégie","Ce que ça fait","alias_or_group_normalization"
"Domaine","Analyse","analyse","Analyse","Domaine","preserve"
"Domaine","Communication","communication","Communication","Domaine","preserve"
"Domaine","Finance","finance","Finance","Domaine","preserve"
"Domaine","Juridique","juridique","Juridique","Domaine","preserve"
"Domaine","Mode","mode","Mode","Domaine","preserve"
"Domaine","Personnage","personnage","Personnage","Domaine","preserve"
"Domaine","Portrait","portrait","Portrait","Domaine","preserve"
"Domaine","Produit","produit","Produit","Domaine","preserve"
"Domaine","Publicité","publicite","Publicité","Domaine","preserve"
"Domaine","Recherche","recherche","Recherche","Domaine","preserve"
"Domaine","Souvenir","souvenir","Souvenir","Domaine","preserve"
"Domaine","Synthese","synthese","Synthèse","Domaine","alias_or_group_normalization"
"Expérience","Apprentissage","apprentissage","Apprentissage","Expérience","preserve"
"Style","3D","3d","3D","Style","preserve"
"Style","Anime","anime","Anime","Style","preserve"
"Style","Cinema","cinema","Cinéma","Style","alias_or_group_normalization"
"Style","Illustration","illustration","Illustration","Style","preserve"
"Style","Rétro","retro","Rétro","Style","preserve"
"Bibliothèque ou IA compatible","Image","","","","retire_from_navigation_zero_published_links"
"Bibliothèque ou IA compatible","Images","","","","retire_from_navigation_zero_published_links"
"Bibliothèque ou IA compatible","Reflexion","","","","retire_from_navigation_zero_published_links"
"Bibliothèque ou IA compatible","Réflexions","","","","retire_from_navigation_zero_published_links"
"Bibliothèque ou IA compatible","Texte","","","","retire_from_navigation_zero_published_links"
"Bibliothèque ou IA compatible","Textes","","","","retire_from_navigation_zero_published_links"
"Bibliothèque ou IA compatible","ChatGPT","","","","retire_from_navigation_zero_published_links"
"Bibliothèque ou IA compatible","Claude","","","","retire_from_navigation_zero_published_links"
"Bibliothèque ou IA compatible","Gemini","","","","retire_from_navigation_zero_published_links"
