card_id;commande;titre_actuel;description_actuelle;A_REMPLIR_capacites;A_REMPLIR_exemple_demande;facultatif_situations
mode-pressrelease;/pressrelease;Atelier communiqué;"Un mode qui vérifie les faits fournis, clarifie l’annonce et construit un communiqué prêt à relire, sans prétendre à une publication officielle.";;;
mode-copywriter;/copywriter;Atelier de copywriting;"Un atelier qui clarifie cible, offre et preuves, puis construit des messages commerciaux et les améliore selon un objectif précis.";;;
mode-landingpage;/landingpage;Atelier page de vente;"Un parcours de copywriting qui construit une page section par section après clarification de l’offre ; livraison du contenu, pas d’un site publié.";;;
mode-cialdini;/cialdini;Atelier persuasion;"Une revue d’offre à travers sept principes de persuasion, avec preuves disponibles et améliorations sans fausse urgence.";;;
mode-coldemail;/coldemail;Atelier prospection;"Un mode qui analyse la cible et l’intérêt de l’offre, puis prépare trois e-mails cohérents, sans envoi automatique.";;;
mode-ugcscript;/ugcscript;Atelier script UGC;"Un atelier qui transforme une expérience produit documentée en script court avec accroche, démonstration et action finale, sans faux témoignage.";;;
mode-chef-projet;/chef-projet;Chef de projet;"Un mode qui transforme un objectif en étapes, dépendances et décisions à prendre, puis suit les changements de périmètre.";;;
mode-redacteur-en-chef;/redacteur-en-chef;Comité éditorial;"Un mode qui choisit l’angle, la hiérarchie et le ton d’un contenu, puis organise une révision argumentée.";;;
mode-directeur-artistique;/directeur-artistique;Direction artistique;"Un partenaire qui confronte le brief aux références, propose des pistes distinctes et aide à choisir une direction cohérente.";;;
mode-recruteur;/recruteur;Entretien d’embauche;"Un entretien simulé adapté au poste, suivi de retours sur les réponses et d’une préparation ciblée.";;;
mode-investisseur;/investisseur;Face à l’investisseur;"Un investisseur fictif interroge le marché, les chiffres et les risques avant de rendre un avis argumenté.";;;
mode-adcopy;/adcopy;Laboratoire publicitaire;"Cinq angles de textes publicitaires sont comparés sur un même brief, puis affinés selon la cible et les preuves disponibles.";;;
mode-client-difficile;/client-difficile;Le client difficile;"Une simulation de client qui conteste prix, utilité et confiance ; la séance se termine par un débrief des réponses.";;;
mode-chrissvoss;/chrissvoss;Négociation inspirée de Chris Voss;"Un entraînement au miroir, à l’étiquetage émotionnel et aux questions ouvertes, suivi d’un débrief ; aucune affiliation revendiquée.";;;
mode-salespitch;/salespitch;Pitch en 30 secondes;"Un entraînement oral simulé pour condenser une offre, tester sa compréhension et finaliser un pitch bref.";;;
mode-product-manager;/product-manager;Revue produit;"Un examen du besoin utilisateur, de la proposition de valeur et des priorités, aboutissant à un périmètre de première version.";;;
mode-facilitateur;/facilitateur;Réunion qui avance;"Un animateur structure les contributions, repère les désaccords et produit une liste de décisions et d’actions.";;;
mode-negociateur;/negociateur;Table de négociation;"Une préparation puis une simulation de négociation, avec objectifs, limites, concessions et bilan des accords possibles.";;;
mode-avocat-du-diable;/avocat-du-diable;Avocat du diable;"Un contradicteur défend l’objection la plus solide, puis aide à renforcer ou réviser la position initiale.";;;
mode-critique-design;/critique-design;Critique de design;"Une revue de hiérarchie, contraste, lisibilité et cohérence visuelle à partir d’un support fourni.";;;
mode-anti-jargon;/anti-jargon;Détecteur de jargon;Un lecteur non spécialiste repère les expressions opaques et propose des formulations concrètes sans perdre le sens.;;;
mode-fact-or-fluff;/fact-or-fluff;Faits ou blabla;"Un mode sépare faits, opinions et promesses dans un contenu, puis indique les preuves qui manquent.";;;
mode-jury-sans-pitie;/jury-sans-pitie;Jury sans pitié;Un jury exigeant confronte un projet à des critères annoncés et distingue défauts bloquants et améliorations secondaires.;;;
mode-client-perdu;/client-perdu;Pourquoi je n’achète pas;"Un acheteur fictif verbalise ses objections et ses hésitations, puis aide à formuler des hypothèses de test.";;;
mode-roast-mon-offre;/roast-mon-offre;Roast de mon offre;"Une critique mordante à intensité choisie, centrée sur l’offre, suivie de trois corrections prioritaires.";;;
mode-roast-mon-pitch;/roast-mon-pitch;Roast de mon pitch;"Un auditeur impatient relève jargon et promesses creuses, puis propose un pitch plus clair.";;;
mode-roast-mon-site;/roast-mon-site;Roast de mon site;"Une lecture piquante de captures ou de pages accessibles, suivie de corrections sur la clarté, la crédibilité et le parcours.";;;
mode-red-team;/red-team;Équipe contradictoire;Un examen structuré cherche les scénarios qui invalident une stratégie et les tests capables de les départager.;;;
mode-tradeoffs;/tradeoffs;Arbitrages clairs;"Des options sont comparées selon les critères de l’utilisateur, avec compromis et informations encore manquantes.";;;
mode-decision-tree;/decision-tree;Arbre de décision;Un choix complexe devient une succession de questions et de branches explicites.;;;
mode-cognitivebias;/cognitivebias;Biais possibles;"Un discours ou une décision est examiné pour repérer des biais plausibles, sans attribuer de diagnostic à une personne.";;;
mode-systems-map;/systems-map;Carte du système;"Un problème est représenté par ses acteurs, flux, dépendances et boucles possibles, puis relié à des leviers d’action.";;;
mode-feynman;/feynman;Comprendre simplement;"Une explication progressive utilise une analogie, vérifie la compréhension et corrige les points confus.";;;
mode-second-order;/second-order;Et ensuite ?;"Une décision est examinée à travers ses effets immédiats, ses conséquences indirectes et les incertitudes à surveiller.";;;
mode-causes-cachees;/causes-cachees;Explorer les causes;"Un mode distingue symptômes et causes possibles, puis propose les observations nécessaires pour tester chaque hypothèse.";;;
mode-cheatsheet;/cheatsheet;Fiche de repères;"Un mode de révision sélectionne les notions essentielles, les organise et vérifie les confusions fréquentes.";;;
mode-shadowwork;/shadowwork;Journal des réactions;"Une exploration réflexive des émotions et habitudes déclarées, fondée sur des questions ouvertes, sans diagnostic ni vérité cachée affirmée.";;;
mode-premortem;/premortem;Le projet a échoué;Une simulation d’échec futur fait émerger des causes possibles et un plan de prévention priorisé.;;;
mode-fivewhys;/fivewhys;Les cinq pourquoi;Un atelier remonte les causes d’un problème tout en séparant les liens documentés des suppositions.;;;
mode-analogy;/analogy;L’analogie utile;"Une notion abstraite est comparée à une situation familière, avec les limites explicites de la comparaison.";;;
mode-riskmitigation;/riskmitigation;Matrice de risques;"Un mode définit les échelles de probabilité et d’impact, classe les risques et prépare des réponses et des plans de secours.";;;
mode-entonnoir;/entonnoir;Penser en entonnoir;"Une idée commerciale est organisée en découverte, intérêt, décision et action, avec les obstacles propres à chaque étape.";;;
mode-dashboard;/dashboard;Penser en tableau de bord;"Un objectif est traduit en quelques indicateurs définis, sources de données et décisions associées, sans chiffres inventés.";;;
mode-checklist;/checklist;Penser en vérifications;"Une procédure fournie devient une liste de contrôles ordonnés, avec critères de réussite et points bloquants.";;;
mode-timeline;/timeline;Penser en étapes;"Des notes dispersées deviennent une chronologie, avec ordre, dépendances et jalons vérifiables.";;;
mode-first-principles;/first-principles;Premiers principes;"Un problème est décomposé en faits établis, contraintes et suppositions avant de reconstruire des options.";;;
mode-gdprcheck;/gdprcheck;Repérage RGPD;"Un questionnaire sur les traitements de données produit des points à vérifier et des questions à soumettre à un spécialiste ; ce n’est pas une certification.";;;
mode-pirate;/pirate;Le capitaine des choix;"Un capitaine fictif transforme un objectif en expédition, avec ressources limitées, décisions et conséquences narratives.";;;
mode-detective-noir;/detective-noir;Le détective noir;"Une enquête au ton de roman noir progresse par interrogatoires, indices et déductions contrôlées.";;;
mode-prof-excentrique;/prof-excentrique;Le professeur excentrique;"Un professeur imaginaire explique un sujet avec expériences de pensée et analogies surprenantes, puis revient aux faits.";;;
mode-robot-litteral;/robot-litteral;Le robot trop littéral;"Un interlocuteur prend les formulations au pied de la lettre pour révéler les ambiguïtés d’une consigne, avec humour.";;;
mode-archiviste-futur;/archiviste-futur;L’archiviste du futur;Un historien imaginaire du futur questionne un projet actuel comme s’il étudiait les traces de sa réussite ou de son échec.;;;
mode-aubergiste;/aubergiste;L’auberge des histoires;"Un aubergiste fictif fait émerger un récit à partir de rencontres, rumeurs et choix du joueur.";;;
mode-oracle-pragmatique;/oracle-pragmatique;L’oracle pragmatique;"Un personnage symbolique propose plusieurs lectures d’un dilemme, puis revient à des choix concrets sans prédire l’avenir.";;;
mode-debate-arena;/debate-arena;Arène de débat;Un débat à tours alternés confronte deux positions et se termine par une synthèse des arguments solides.;;;
mode-boardgame-lab;/boardgame-lab;Atelier jeu de société;"Un atelier conçoit règles, matériel et condition de victoire, puis simule une manche pour repérer les incohérences.";;;
mode-conseil-de-crise;/conseil-de-crise;Conseil de crise;"Une équipe fictive reçoit des événements successifs et doit arbitrer sous contraintes, avant un bilan de ses décisions.";;;
mode-story-dice;/story-dice;Dés à histoires;"Des contraintes tirées pour la partie guident un récit collectif à tours alternés ; l’état de l’histoire reste résumé.";;;
mode-enquete;/enquete;Enquête à résoudre;"Un dossier fictif propose suspects, indices et fausses pistes, avec solution cohérente et révélation finale.";;;
mode-escape-room;/escape-room;Escape room conversationnelle;"Des énigmes progressives débloquent un lieu fictif ; indices, objets et conditions de victoire sont suivis.";;;
mode-pitch-battle;/pitch-battle;La bataille des pitchs;"Deux idées s’affrontent sur des critères choisis, avec tours d’amélioration et verdict argumenté.";;;
mode-code-secret;/code-secret;Le code secret;"Une suite d’énigmes logiques révèle un code, avec difficulté ajustable et indices graduels.";;;
mode-conseil-royaume;/conseil-royaume;Le conseil du royaume;"Un jeu de rôle politique imaginaire confronte ressources, alliances et demandes des personnages.";;;
mode-jeu-negociation;/jeu-negociation;Le marché des alliances;"Un jeu de table conversationnel propose rôles, ressources et tours de négociation ; accords et score suivent des règles annoncées.";;;
mode-alibi;/alibi;L’alibi impossible;Le joueur confronte des témoignages pour repérer les incohérences et reconstruire une chronologie.;;;
mode-detective-objet;/detective-objet;L’objet mystérieux;Le joueur identifie un objet à travers des indices progressifs et un nombre limité de questions.;;;
mode-ile-survie;/ile-survie;L’île des décisions;"Un jeu de gestion narratif suit ressources, événements et conséquences jusqu’à un objectif de survie fictif.";;;
mode-roleplay;/roleplay;Simulation sur mesure;"Une conversation jouée selon un rôle, un contexte et un objectif choisis, avec débrief à la fin.";;;
mode-scamper;/scamper;Atelier SCAMPER;"Une idée est travaillée par substitution, combinaison, adaptation et autres transformations pour ouvrir des variantes concrètes.";;;
mode-storyboard;/storyboard;Découper en plans;"Un récit devient une liste de plans avec action, cadrage et transition ; les images ne sont produites que si un outil adapté est disponible.";;;
mode-collision-idees;/collision-idees;Collision d’idées;Deux univers éloignés sont combinés pour produire des concepts dont le lien est expliqué.;;;
mode-objet-impossible;/objet-impossible;Inventer l’impossible;"Un objet aux propriétés imaginaires est conçu, puis séparé en éléments réalisables et pure fiction.";;;
mode-contrainte-folle;/contrainte-folle;La contrainte folle;"Une contrainte inhabituelle force à renouveler une idée, avant un tri selon son utilité.";;;
mode-twist;/twist;Le retournement;"Une histoire ou une idée reçoit plusieurs retournements possibles, évalués selon leur cohérence avec le point de départ.";;;
mode-anti-brief;/anti-brief;L’anti-brief;"Le mode imagine l’opposé d’un brief, puis récupère les trouvailles qui peuvent enrichir la direction initiale.";;;
mode-metaphore-marque;/metaphore-marque;Métaphores de marque;"Une offre est traduite en métaphores visuelles, chacune reliée à un bénéfice réellement défendable.";;;
mode-unboxing;/unboxing;Scénario de déballage;"Une expérience de déballage est organisée en étapes à partir du contenu réel du colis, avec sensations et points de découverte.";;;
mode-morphostyle;/morphostyle;Coupes et préférences;"Des conseils de coupe et de proportions répondent aux préférences de confort et de style, sans imposer de corps idéal.";;;
mode-capsulewardrobe;/capsulewardrobe;Dressing capsule;"Un atelier construit une garde-robe de 10 à 15 pièces combinables à partir des besoins, du budget et des vêtements existants.";;;
mode-dresscode;/dresscode;Décoder un dress code;Un code vestimentaire est expliqué à travers des tenues concrètes adaptées au contexte et au niveau de formalité.;;;
mode-outfitmatrix;/outfitmatrix;La semaine en tenues;"Un mode compose un tableau de tenues selon les vêtements disponibles, les occasions et la météo renseignée.";;;
mode-colorpalette;/colorpalette;Palette vestimentaire;"Un atelier propose des associations de couleurs selon les goûts et références, en tenant compte des limites d’une photo pour juger la carnation.";;;
