card_id;commande;titre_actuel;livrables_deja_connus;A_REMPLIR_livrables_si_vide;facultatif_public_vise;facultatif_a_preparer
path-packecommerce;/packecommerce;Pack produit · 5 visuels;"Image principale; PNG détouré; Détail réel du produit; Scène d’usage compatible; Produit en main ou avec repère.";;;
path-packlocalshop;/packlocalshop;Commerce local sur mobile;"Annonce verticale de l’offre; Carte carrée; Présentation visuelle de l’activité; Projection de l’offre sur vitrine.";;;
path-packcampaign;/packcampaign;Campagne publicitaire · 6 visuels;"Concept centré sur usage; Concept métaphorique; Concept centré sur un détail; Concept retenu carré; Concept retenu vertical; Concept retenu horizontal.";;;
path-packbrandlaunch;/packbrandlaunch;Lancement visuel de marque;"Planche de direction artistique; Photo produit de référence; Mockup de l’emballage choisi; Annonce de lancement; Visuel d’ouverture de site.";;;
path-packpackaging;/packpackaging;Présentation packaging;"Face principale; Vue trois-quarts; Dos documenté; Mise en rayon conceptuelle.";;;
path-packartisan;/packartisan;Produit et savoir-faire;"Produit principal; Geste artisanal; Détail matière; Présentation mobile.";;;
path-packrestaurant;/packrestaurant;Restaurant et livraison;"Photo du plat A; Photo du plat B; Photo du plat C; Menu des trois plats; Annonce avec contact.";;;
path-packresale;/packresale;Annonce seconde main fidèle;"Vue globale nettoyée; Détail réel; Vue de l’état et de l’usure.";;;
path-packpro;/packpro;Présence professionnelle;"Portrait principal pour profil; Portrait vertical pour biographie; Bannière avec espace pour titre.";;;
path-packproperty;/packproperty;Projection immobilière transparente;"Source conservée sans retouche; Aménagement virtuel A; Aménagement virtuel B; Planche existant et projections.";;;
path-packtechnical;/packtechnical;Dossier visuel technique;"Plan visuel documenté; Vue éclatée; Coupe explicative; Flux ou fonction documentée.";;;
path-packexplainer;/packexplainer;Explication visuelle en étapes;"Situation de départ; Étape clé 1; Étape clé 2; Résultat attendu documenté; Planche assemblée des quatre schémas.";;;
path-packlooks;/packlooks;Essais de tenues · 4 visuels;"Tenue A; Tenue B; Tenue C; Planche des trois images existantes.";;;
path-packbeauty;/packbeauty;Essais coiffure · 4 visuels;"Essai coiffure A; Essai style B; Essai style C; Planche des trois essais existants.";;;
path-packmusic;/packmusic;Sortie musicale;"Pochette du projet; Portrait presse artistique; Annonce de sortie musicale; Miniature de présentation.";;;
path-packvfx;/packvfx;Mini campagne VFX;"Effet portail; Effet suspension; Effet rupture de cadre; Déclinaison d’une image validée.";;;
path-packstickers;/packstickers;Collection de stickers;"Sticker joie; Sticker surprise; Sticker geste de remerciement; Sticker concentration; Sticker fierté; Sticker pause; Planche des six exports existants.";;;
path-packfamily;/packfamily;Souvenir familial cohérent;"Portrait collectif; Déclinaison verticale du groupe; Déclinaison carrée.";;;
path-packcelebration;/packcelebration;Célébration personnelle;"Portrait de célébration; Invitation à l’événement déclaré; Story de l’invitation.";;;
path-packheritage;/packheritage;Collection culturelle personnelle;"Portrait culturel principal; Déclinaison rapprochée; Scène de transmission symbolique.";;;
path-parcours-offre;/parcours-offre;Construire mon offre;;;;
path-parcours-produit;/parcours-produit;Mon produit entre en scène;;;;
path-parcours-negociation;/parcours-negociation;Prêt pour la négociation;;;;
path-parcours-clarte;/parcours-clarte;Du chaos au plan;;;;
path-parcours-identite;/parcours-identite;Mon univers créatif;;;;
path-parcours-affiche;/parcours-affiche;Je deviens la tête d’affiche;;;;
path-parcours-tribunal;/parcours-tribunal;Mon idée passe au tribunal;;;;
path-parcours-enquete;/parcours-enquete;Une soirée dans l’enquête;;;;
