"tag_key","label","group","definition","card_count"
"montage","Montage","Ce que ça fait","Associer ou transformer plusieurs éléments dans une scène.","127"
"reseaux","Réseaux","Ce que ça fait","Créer un contenu conçu pour être partagé sur les réseaux.","17"
"humour","Humour","Ce que ça fait","Produire un gag ou un décalage comique lisible.","88"
"strategie","Stratégie","Ce que ça fait","Éclairer un choix et ses conséquences.","9"
"organisation","Organisation","Ce que ça fait","Structurer des actions, objets ou informations.","5"
"debat","Débat","Ce que ça fait","Examiner des arguments contradictoires.","4"
"enquete","Enquête","Ce que ça fait","Explorer des indices dans un scénario ou une recherche.","3"
"retouche","Retouche","Ce que ça fait","Corriger une image en préservant son contenu principal.","23"
"marque","Marque","Ce que ça fait","Décliner une identité visuelle ou commerciale.","131"
"objet","Objet","Ce que ça fait","Étudier ou représenter un objet.","1"
"quotidien","Quotidien","Ce que ça fait","Mettre en scène une situation de la vie courante.","4"
"illustration","Illustration","Style","Rendu dessiné ou peint, distinct de la photographie.","80"
"3d","3D","Style","Rendu volumétrique ou objet construit en trois dimensions.","93"
"cinema","Cinéma","Style","Composition, lumière ou narration de langage cinématographique.","19"
"retro","Rétro","Style","Esthétique volontairement liée à une époque passée.","13"
"anime","Anime","Style","Dessin ou univers issu de l’animation japonaise.","11"
"peinture","Peinture","Style","Rendu dont les touches et la matière picturale sont visibles.","20"
"gravure","Gravure","Style","Rendu issu de tailles, trames ou procédés imprimés.","5"
"collage","Collage","Style","Assemblage visible de fragments ou de couches.","24"
"artisanat","Artisanat","Style","Matières travaillées et gestes de fabrication.","19"
"animation","Animation","Style","Personnage ou décor évoquant une technique d’animation.","28"
"graphisme","Graphisme","Style","Mise en page et organisation de formes ou de textes.","64"
"manuscrit","Manuscrit","Style","Écriture et annotations tracées à la main.","20"
"surrealisme","Surréalisme","Style","Association impossible construite comme une scène cohérente.","73"
"miniature","Miniature","Style","Décor ou sujet volontairement représenté à petite échelle.","10"
"palette","Palette","Style","Choix de couleurs constituant le principe visuel principal.","18"
"portrait","Portrait","Domaine","Personne ou alter ego identifiable au centre de la carte.","436"
"mode","Mode","Domaine","Tenues, accessoires et présentation vestimentaire.","73"
"souvenir","Souvenir","Domaine","Moments partagés et représentations de liens personnels.","42"
"communication","Communication","Domaine","Messages et supports destinés à un public.","59"
"publicite","Publicité","Domaine","Visuels servant une offre et une action commerciale.","99"
"produit","Produit","Domaine","Article physique ou numérique présenté ou étudié.","108"
"architecture","Architecture","Domaine","Bâtiments, pièces et aménagements.","63"
"analyse","Analyse","Domaine","Lire une source ou une situation pour en tirer les éléments utiles.","20"
"personnage","Personnage","Domaine","Incarner une personnalité dans une interaction.","9"
"synthese","Synthèse","Domaine","Condenser des sources sans perdre les éléments essentiels.","5"
"recherche","Recherche","Domaine","Explorer ou vérifier des informations.","2"
"finance","Finance","Domaine","Chiffres d’activité, budgets et arbitrages.","1"
"juridique","Juridique","Domaine","Questions de droit et documents à faire vérifier selon le contexte.","1"
"voyage","Voyage","Domaine","Destinations, monuments et scènes de déplacement.","45"
"cultures","Cultures","Domaine","Tenues ou contextes culturels nommés et situés.","40"
"pop-culture","Pop culture","Domaine","Univers et personnages culturels de fiction identifiables.","41"
"animaux","Animaux","Domaine","Animaux réels ou personnages inspirés d’animaux.","10"
"alimentation","Alimentation","Domaine","Cuisine, boissons et produits alimentaires.","14"
"musique","Musique","Domaine","Pratique musicale, scène et univers sonore.","10"
"sport","Sport","Domaine","Pratique sportive et ses représentations.","3"
"travail","Travail","Domaine","Activités et contextes professionnels.","76"
"nature","Nature","Domaine","Végétation, paysages et milieux naturels.","5"
"photo","Photo","Ce que vous obtenez","Image dont le rendu principal évoque une photographie.","620"
"schema","Schéma","Ce que vous obtenez","Explication visuelle simplifiée et annotée.","79"
"plan","Plan","Ce que vous obtenez","Organisation d’un espace ou représentation cotée conceptuelle.","7"
"couverture","Couverture","Ce que vous obtenez","Première page de publication ou visuel de jaquette.","36"
"affiche","Affiche","Ce que vous obtenez","Composition conçue pour une lecture publicitaire ou événementielle.","44"
"typographie","Typographie","Ce que vous obtenez","Lettrage ou hiérarchie de texte au centre du résultat.","3"
"bd","BD","Ce que vous obtenez","Narration en cases.","23"
"meme","Mème","Ce que vous obtenez","Image humoristique associée à une légende concise.","20"
"apprentissage","Apprentissage","Expérience","Comprendre ou pratiquer une notion.","42"
"jeu","Jeu","Expérience","Interagir selon un scénario et des règles ludiques.","9"
"simulation","Simulation","Expérience","Répéter ou explorer une situation fictive.","9"
"coaching","Coaching","Expérience","Avancer par échanges et actions guidées.","3"
"donnees","Données","Autres","Tableaux, mesures ou valeurs fournis à exploiter.","13"
"code","Code","Autres","Code à lire, produire ou corriger.","1"
"afrique","Afrique","Lieu","Scène explicitement située en Afrique.","35"
"asie","Asie","Lieu","Scène explicitement située en Asie.","21"
"europe","Europe","Lieu","Scène explicitement située en Europe.","16"
"ameriques","Amériques","Lieu","Scène explicitement située dans les Amériques.","8"
"oceanie","Océanie","Lieu","Scène explicitement située en Océanie.","1"
"point-de-vue","Point de vue","Style","Angle de caméra qui détermine la lecture du sujet.","12"
"matieres","Matières","Domaine","Étude des couleurs, matières, textures et finitions.","12"
"comparaison","Comparaison","Ce que ça fait","Mettre plusieurs états ou choix en parallèle avec un cadre constant.","12"
"technique","Technique","Domaine","Détail de construction, fonctionnement ou observation, documenté ou conceptuel.","12"
"processus","Processus","Ce que ça fait","Étapes, échanges ou responsabilités ordonnés dans un service ou système.","12"
